index_code,名称,trade_year,trade_week,trade_date,total_mv,total_earnings,total_earnings_ttm,total_book_value,pe,pb,pe_ttm
000015.SH,红利指数,2020,39,20200925,946523952.2778001,153328245.98315832,137373118.1284007,1265931075.0454364,6.173187113754415,0.7476899579574882,6.8901686528880965
000015.SH,红利指数,2020,40,20200930,950523045.8174,153328935.86216363,137372842.92154267,1278405050.5154076,6.19924113131445,0.7435225990652828,6.919293694462371
000015.SH,红利指数,2020,41,20201009,953481222.1013,153328531.27607608,137372554.09633788,1278421345.2959027,6.218550547415777,0.7458270511594186,6.940842210974937
000015.SH,红利指数,2020,42,20201016,973281868.1822,153328562.60545722,137371728.44765434,1278441537.7545166,6.347687943091428,0.7613033834082816,7.085023091582269
000015.SH,红利指数,2020,43,20201023,980231626.5665001,153328749.76366824,137371297.08935738,1278945151.5143602,6.393006061011849,0.7664375797553457,7.1356363908311815
000015.SH,红利指数,2020,44,20201030,962180289.6937,153328883.75939363,140755281.6366621,1301710340.0657232,6.275270947668086,0.7391662031701458,6.8358379060859615
000015.SH,红利指数,2020,45,20201106,993485885.5487,153328585.7691072,140594995.25759378,1316982580.9194813,6.4794563946788095,0.7543652436580256,7.066296234289606
000015.SH,红利指数,2020,46,20201113,989839257.6022999,153328495.78978044,140595060.09875074,1316995354.3375456,6.455677090574276,0.7515890275104223,7.040355876707614
000015.SH,红利指数,2020,47,20201120,1008144422.4143,153328805.80566558,140594791.15895128,1317023362.880155,6.57504907259278,0.7654719352962898,7.170567373826311
000015.SH,红利指数,2020,48,20201127,1053543392.9007,153328712.52943113,140594850.8443021,1316998511.1450958,6.871142237618897,0.7999579224920091,7.493470682417934
000015.SH,红利指数,2020,49,20201204,1041975561.7504,153328854.19097012,140594576.0546604,1316981305.3083491,6.795691308386261,0.7911847780606414,7.411207394980162
000015.SH,红利指数,2020,50,20201211,999803297.4037,153328501.08999136,140595008.66778654,1316994799.1578307,6.520661783662105,0.7591550840163053,7.1112289609522765
000015.SH,红利指数,2020,51,20201218,993749841.8388001,153329258.86866656,140595161.6064285,1316992201.2555125,6.481149450347188,0.7545601567658794,7.068165294483095
000015.SH,红利指数,2020,52,20201225,980633170.8084,153329001.031382,140595210.5458363,1317008420.2754376,6.395614425269052,0.744591420761996,6.9748689660285255
000015.SH,红利指数,2020,53,20201231,984259352.9421,153329062.6437173,140594657.36679122,1317003929.5225775,6.419261527928152,0.7473473167987437,7.000688158258455
000015.SH,红利指数,2021,1,20210108,974662212.5848,159742159.99020603,145883517.91649798,1370277151.935054,6.101471350109186,0.7112883778354026,6.681098910314771
000015.SH,红利指数,2021,2,20210115,998812384.7663,159741744.42291248,146262581.381071,1380620261.9836798,6.252669822622995,0.723451923942651,6.8288989250367775
000015.SH,红利指数,2021,3,20210122,980494004.2471999,159742067.05874312,146546695.39612183,1375599253.6896842,6.137982450713096,0.7127759059313836,6.690659257766842
000015.SH,红利指数,2021,4,20210129,975166838.0428,159742021.24749643,147027145.80811086,1375573568.7792468,6.104635652080078,0.7089165277493752,6.632563209215234
000015.SH,红利指数,2021,5,20210205,993430179.1314,159741725.2507856,147026716.96636283,1375605395.485056,6.218977399748063,0.7221767102629776,6.756800394030968
000015.SH,红利指数,2021,6,20210210,1008714256.8055,159742015.92871702,147026852.79832873,1372031603.3549147,6.314645842804606,0.7351975379714104,6.860748479661167
000015.SH,红利指数,2021,7,20210219,1023564950.8271999,159741963.2564144,147027200.0842904,1372033093.6095018,6.407614692854345,0.7460205993533561,6.96173871392771
000015.SH,红利指数,2021,8,20210226,1026091003.2630999,159741711.50744507,147027164.94109327,1372051507.8039594,6.423438146368408,0.7478516640424182,6.978921233189835
000015.SH,红利指数,2021,9,20210305,1046698374.6338999,159741865.69761932,147046636.35251883,1372038878.4159653,6.552436144793939,0.7628780722615712,7.118138847628054
000015.SH,红利指数,2021,10,20210312,1044804754.7709,159779148.59364638,147247802.60519898,1373228064.4537888,6.539055715136328,0.7608384811058159,7.095554135855134
000015.SH,红利指数,2021,11,20210319,1027784169.2466,159778984.77431124,147247099.10069904,1373251848.9143457,6.4325366111090965,0.7484309378932475,6.979996044225776
000015.SH,红利指数,2021,12,20210326,1022291675.2804,159201495.49383163,147345509.4049668,1375517372.1281557,6.421369800009256,0.7432052084509435,6.938057898125127
000015.SH,红利指数,2021,13,20210402,1033195233.7934,155763630.75493538,155387998.6130342,1404529514.226322,6.633096755550962,0.7356166056521286,6.649131483869527
000015.SH,红利指数,2021,14,20210409,1035034335.5094,155763011.72853374,155390923.71290433,1404539984.3188796,6.644930166818258,0.7369205199318919,6.660841642345204
000015.SH,红利指数,2021,15,20210416,1034917329.7621,155736778.91109043,155421633.79915243,1404658991.2412238,6.6452981562751505,0.7367747874860343,6.65877268475699
000015.SH,红利指数,2021,16,20210423,1018017471.5076001,155809299.2164689,155528979.07190815,1407221549.822819,6.533740133785266,0.7234237363944412,6.545516324883249
000015.SH,红利指数,2021,17,20210430,996465522.8523,155867304.72147027,163035053.81107005,1454584700.4033847,6.393037491941951,0.6850515632234828,6.111971012117642
000015.SH,红利指数,2021,18,20210507,1015959433.36,155867370.67344895,163034288.90287578,1454598861.7605968,6.518102082369074,0.6984464652545633,6.231569077871933
000015.SH,红利指数,2021,19,20210514,1021207470.5679,155867271.22905326,163034253.5049427,1454360950.6336849,6.551776152334086,0.7021692036787333,6.263760213659274
000015.SH,红利指数,2021,20,20210521,1003591276.8976,155867326.0233356,163034466.04853356,1453977312.2763114,6.438753409725832,0.6902386085560043,6.1557000873597
000015.SH,红利指数,2021,21,20210528,1023132136.9992,155867167.12453902,163034132.22432294,1453920421.0510345,6.564128647964134,0.7037057339490294,6.275570170738515
000015.SH,红利指数,2021,22,20210604,1008748179.388,155867063.18635428,163034278.18326822,1447940157.9615746,6.471849528478914,0.6966780870337392,6.187337967381667
000015.SH,红利指数,2021,23,20210611,1006669272.8727001,155866739.2274606,163034843.49220216,1447854270.0871694,6.458525262427156,0.6952835611087382,6.17456521139819
000015.SH,红利指数,2021,24,20210618,980440490.0443,155867073.96376252,163034913.33521497,1461549734.3445415,6.29023478218525,0.6708225296787429,6.013684247057089
000015.SH,红利指数,2021,25,20210625,993714052.3156,155867242.0669189,163034943.19497228,1464682800.5124886,6.375387407502637,0.6784500043066677,6.0950985895534355
000015.SH,红利指数,2021,26,20210702,980057832.4489,155866602.36772907,163034678.74800476,1459008813.3481596,6.28779878152918,0.671728521090867,6.0113458067637895
000015.SH,红利指数,2021,27,20210709,956341044.7689999,155866965.72780284,163034272.19347173,1448461216.7201521,6.135623673069374,0.6602462211135395,5.865889618804298
000015.SH,红利指数,2021,28,20210716,932466399.3609,155866494.72653407,163034627.68696406,1422269836.649232,5.982468528575698,0.6556184876687855,5.719437720625152
000015.SH,红利指数,2021,29,20210723,919562313.0613,155866534.094758,163060457.32607105,1407111082.574119,5.899677685155034,0.6535108169136763,5.639394909965551
000015.SH,红利指数,2021,30,20210730,885617563.5835,155866641.31664988,163059809.9802976,1404326171.869452,5.6818929060281045,0.6306352336968538,5.431243687150798
000015.SH,红利指数,2021,31,20210806,883613838.4562,155866784.79637116,163060521.554356,1405562863.4786537,5.669032306084831,0.6286547983128465,5.418931756339615
000015.SH,红利指数,2021,32,20210813,907050470.4031,155866663.30499244,163060128.53117883,1405362065.004877,5.819400063939439,0.6454211999809119,5.562674815564507
000015.SH,红利指数,2021,33,20210820,908485132.1752,155867456.65767276,163351961.3981961,1405532737.1492028,5.828574813859188,0.6463635518144183,5.561519582618446
000015.SH,红利指数,2021,34,20210827,912177231.2727001,155866710.92961913,164634532.56583017,1410747457.6764393,5.85229024101618,0.6465914408062053,5.540619073388872
000015.SH,红利指数,2021,35,20210903,948368379.3576,155866966.97808295,173824622.9668766,1446368984.2928615,6.084473174427996,0.6556891012297689,5.455892054708024
000015.SH,红利指数,2021,36,20210910,981986567.3765,155866988.63605127,173824374.61861932,1446283984.1198683,6.300157435320922,0.6789721646361762,5.649303036648543
000015.SH,红利指数,2021,37,20210917,955653032.6344,155867154.78759128,173825024.0375876,1444363492.9812984,6.131202137722478,0.6616430263422435,5.497787432652685
000015.SH,红利指数,2021,38,20210924,941202282.9907,155866835.17172712,173824667.81534055,1444371367.746544,6.038502558634269,0.6516345477403985,5.414664643516357
000015.SH,红利指数,2021,39,20210930,938790249.1927,155867144.91840416,173825039.4503646,1444336990.9860325,6.023015624518901,0.6499800635527576,5.400776851028818
000015.SH,红利指数,2021,40,20211008,944488554.9114001,155867203.85240558,173825094.86867982,1444345496.6477866,6.059572068834693,0.653921487001195,5.4335569649764075
000015.SH,红利指数,2021,41,20211015,944958496.3727,155866611.47594345,173900742.77782854,1443752144.589222,6.062610121722865,0.6545157352071402,5.433895688300518
000015.SH,红利指数,2021,42,20211022,945031624.2964001,155867625.8877886,173848995.03208625,1444232832.8207936,6.063039832124872,0.6543485252655681,5.435933777598089
000015.SH,红利指数,2021,43,20211029,918947365.0297,155866956.147822,172771978.21213558,1460979703.2161705,5.895716370814244,0.6289939298997435,5.318844957029917
000015.SH,红利指数,2021,44,20211105,909301223.8707,155867268.04089677,176553523.51835024,1488889071.0657053,5.833817678976164,0.6107246278729466,5.150286472624212
000015.SH,红利指数,2021,45,20211112,914983093.7037,155867651.3490577,176553802.7681033,1488840719.7605622,5.87025650148947,0.6145607663463484,5.182460413528988
000015.SH,红利指数,2021,46,20211119,917507657.1641,155867438.17086408,176553663.60580823,1488860967.0807533,5.886461392650307,0.616248042933841,5.196763626568642
000015.SH,红利指数,2021,47,20211126,909279330.7793,155866910.32676813,176553138.72068697,1488916266.6035314,5.8336906074101025,0.6106987687450814,5.15017369483196
000015.SH,红利指数,2021,48,20211203,922884381.4077001,155867494.86919272,176553131.39123166,1488856654.3051536,5.920954732622116,0.6198611389075656,5.227233151490477
000015.SH,红利指数,2021,49,20211210,930446418.0522,155867139.22517967,176554122.41731367,1488913936.5759604,5.969484156041341,0.6249161856809117,5.270035076569565
000015.SH,红利指数,2021,50,20211217,926805430.6355,155867154.59527624,176553268.32585067,1488842200.2357237,5.946124012092462,0.6225007797930242,5.24943797089594
000015.SH,红利指数,2021,51,20211224,932245497.8443,155867200.40902668,176552966.92074272,1488865121.3776472,5.981024201357961,0.6261450311776349,5.280259596332918
000015.SH,红利指数,2021,52,20211231,930616350.9209,155867107.7427036,176553379.53002036,1488854417.621104,5.970575603783626,0.6250553042035107,5.27101975276923
000015.SH,红利指数,2022,1,20220107,897822777.2766,150015636.0509973,169541914.68300527,1436450748.5962024,5.984861317865481,0.6250285839274431,5.295580027837192
000015.SH,红利指数,2022,2,20220114,886620999.5301,150016036.7622739,169938046.30010164,1440867153.86231,5.910174796412618,0.6153384766621073,5.2173190102725675
000015.SH,红利指数,2022,3,20220121,901525802.8297,150015604.9631463,169951489.7782694,1431211058.1710172,6.009546827152909,0.6299041624103883,5.30460664984987
000015.SH,红利指数,2022,4,20220128,882757572.1022999,150016021.69735605,169951991.55941364,1430066877.2753117,5.884421957830509,0.6172841187568842,5.194158444408085
000015.SH,红利指数,2022,6,20220211,936779093.1551,150015167.2848896,169951750.0601295,1440536780.520903,6.244562533974242,0.6502986288322034,5.512029695626343
000015.SH,红利指数,2022,7,20220218,929600939.3235999,150015475.1879493,170027282.89162534,1441092730.9757047,6.196700294812482,0.6450667048290538,5.467363375536169
000015.SH,红利指数,2022,8,20220225,900306546.377,150015847.16861445,170063571.81559587,1441064007.4705215,6.001409606846906,0.6247512544271332,5.293941181908284
000015.SH,红利指数,2022,9,20220304,921500407.1152,150015905.19112286,170230050.82480374,1440457849.0451803,6.142684710272505,0.6397274364716915,5.413265182324265
000015.SH,红利指数,2022,10,20220311,898859286.2971,149993347.48240638,170203954.62846175,1440351015.4131377,5.992661017199663,0.6240557174455693,5.281071689898276
000015.SH,红利指数,2022,11,20220318,889532992.5021,150130103.59837705,170204442.29932815,1440397626.8068092,5.925080787806211,0.61756071792071,5.226261902951585
000015.SH,红利指数,2022,12,20220325,903999058.5917001,152526086.20036316,170226733.44471225,1440211715.3814063,5.926848850000503,0.6276848389282107,5.310558690156085
000015.SH,红利指数,2022,13,20220401,945672553.0353,171790749.64636582,173466420.38762367,1470296214.3157146,5.504793214896512,0.6431850560639729,5.45161738463343
000015.SH,红利指数,2022,14,20220408,952021678.4188,171790470.77476564,173466170.1934234,1470314450.2318923,5.541760693274978,0.6474952880104325,5.488226766967003
000015.SH,红利指数,2022,15,20220415,949938655.51,171880885.08546326,173486404.1218544,1470568625.9088976,5.5267265760102875,0.6459668993161622,5.475579831851126
000015.SH,红利指数,2022,16,20220422,941653646.0503,171920533.67136216,173399687.62106538,1473417881.3568313,5.477261069060751,0.6390947591752831,5.430538307013095
000015.SH,红利指数,2022,17,20220429,928138236.099,172284184.97680697,174004072.40859002,1483275478.6374648,5.387251512516641,0.625735576072212,5.334002953215828
000015.SH,红利指数,2022,18,20220506,900883021.0256,167981769.90690145,171950809.87754154,1443132433.6741152,5.362980884919153,0.624255265840027,5.239190333951804
000015.SH,红利指数,2022,19,20220513,904171396.797,167981100.26581398,171952100.23763496,1442963502.592435,5.382578131505483,0.6266072531790039,5.258274807620554
000015.SH,红利指数,2022,20,20220520,906738373.5548,167981382.19122505,171951519.17873603,1443066009.7903056,5.397850414890597,0.6283415778648682,5.273221067691094
000015.SH,红利指数,2022,21,20220527,917882793.8218,167981330.27039507,171951925.31048736,1442788137.6891053,5.464195290895176,0.6361868176237994,5.338019869009389
000015.SH,红利指数,2022,22,20220602,906871808.6382,167982338.27674586,171951511.0542444,1442556060.0632493,5.3986140325309435,0.6286561983583764,5.273997320977977
000015.SH,红利指数,2022,23,20220610,920625552.35,167981609.07880494,171951860.8226008,1438139900.6761677,5.480513952679835,0.6401502050789016,5.35397260573871
000015.SH,红利指数,2022,24,20220617,912102239.9886,167982274.94271356,171950582.1172328,1437246247.2663953,5.429752873031701,0.634617931146729,5.304444037105645
