ts_code,year,month,fund_name,上证50,消费50,红利指数,yearmth
004446.OF,2023,3,南方荣年定期开放A,0.016286207876888937,0.007992763448633528,0.010343542016586427,202303
004450.OF,2022,12,嘉实前沿科技,0.0006701108153204513,0.004936311922528255,0.0,202212
004453.OF,2023,3,前海开源盈鑫A,0.10824699471545399,0.048180968938962475,0.00888734844023751,202303
004457.OF,2022,12,光大多策略智选,0.00010903398078408879,0.0,0.0018606420202522452,202212
004475.OF,2023,3,华泰柏瑞富利A,0.04236246343132478,0.0,0.04236246343132478,202303
004477.OF,2023,3,嘉实沪港深回报,0.13245722236841623,0.08716946308041881,0.0,202303
004481.OF,2023,3,华宝第三产业A,0.10736339432353768,0.08864349992935877,0.0,202303
004488.OF,2023,3,嘉实富时中国A50ETF联接A,1.4317215479558254e-05,0.0,1.5767264788293634e-05,202303
004495.OF,2023,3,博时量化平衡,0.05762729825413672,0.011652724503741803,0.0232803988510985,202303
004496.OF,2022,12,前海开源多元策略A,0.020899148119689057,0.0,0.0,202212
004505.OF,2023,3,博时新兴消费主题A,0.062279390040001346,0.28455934939677524,0.0,202303
004513.OF,2023,3,海富通沪深300指数增强A,0.13754527001705616,0.03967470554107435,0.0,202303
004517.OF,2023,3,南方安康,0.03057079539983638,0.029257152764368875,0.0,202303
004521.OF,2022,12,安信工业4.0沪港深A,0.0007166863795198617,0.019053524225094598,0.0,202212
004549.OF,2023,3,富安达消费主题,0.1520898062421818,0.1520898062421818,0.0,202303
004573.OF,2023,3,新华鑫泰,0.06246839925953522,0.03306363604574486,0.0,202303
004597.OF,2023,3,南方中证银行ETF联接A,0.015483977984402021,0.0,0.007444146670536644,202303
004607.OF,2023,3,长信利尚一年定开,0.01163708394026516,0.01085840010964756,0.0,202303
004608.OF,2023,3,长信乐信A,0.03959605069209153,0.0,0.03907419599923562,202303
004616.OF,2022,12,中欧电子信息产业A,0.09218249991594143,0.0,0.0,202212
004617.OF,2023,3,建信鑫稳回报A,0.043724886143107475,0.021052980941784902,0.0,202303
004648.OF,2023,3,南方安睿,0.017220287961285184,0.02957911608639752,0.0,202303
004657.OF,2023,3,金鹰民富收益A,0.030144075202194188,0.0,0.0201316711430721,202303
004671.OF,2022,12,中融核心成长,0.01753019839023879,0.026512582773188194,0.02226922623539053,202212
